answer_id,snippet_no,parent_id,score,owner_id,ff_count,ff_line,ff_type,ff_severity,ff_description
30,1,25,21,13,0,0,,0,
37,1,25,26,23,0,0,,0,
37,2,25,26,23,0,0,,0,
73,1,25,9,13,0,0,,0,
537,1,263,4,156,0,0,,0,
607,1,263,12,156,0,0,,0,
1149,1,1145,5,200,1,1,buffer strlen,1,Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).  
1154,1,1145,8,268,0,0,,0,
1163,1,1145,2,263,5,1,buffer strncpy,1,Easily used incorrectly; doesn't always \0-terminate or check for invalid pointers (CWE-120).  
2322,1,2256,1,390,0,0,,0,
2490,1,2256,15,275,0,0,,0,
2490,2,2256,15,275,0,0,,0,
2850,1,2844,303,200,0,0,,0,
2895,1,2844,1,224,0,0,,0,
2895,2,2844,1,224,0,0,,0,
4192,1,4051,17,432,0,0,,0,
4192,2,4051,17,432,1,21,buffer strcpy,2,"Does not check for buffer overflows when copying to destination (CWE-120).  Consider using strcpy_s, strncpy, or strlcpy (warning, strncpy is easily misused). Risk is low because the source is a constant string."
4192,3,4051,17,432,0,0,,0,
4192,4,4051,17,432,0,0,,0,
4192,5,4051,17,432,0,0,,0,
4311,1,4306,24,116,0,0,,0,
4311,2,4306,24,116,3,7,buffer sprintf,2,"Does not check for buffer overflows (CWE-120).  Use sprintf_s, snprintf, or vsnprintf. Risk is low because the source has a constant maximum length."
4364,1,4306,0,116,3,7,buffer sprintf,2,"Does not check for buffer overflows (CWE-120).  Use sprintf_s, snprintf, or vsnprintf. Risk is low because the source has a constant maximum length."
4832,1,4824,28,102,0,0,,0,
4833,1,4824,8,501,0,0,,0,
4834,1,4824,2,658,0,0,,0,
4834,2,4824,2,658,0,0,,0,
4838,1,4824,9,309844,0,0,,0,
5728,1,5727,25,257,0,0,,0,
5728,2,5727,25,257,0,0,,0,
5728,3,5727,25,257,0,0,,0,
5735,1,5727,1,486,0,0,,0,
5754,1,5727,676,267,0,0,,0,
5754,2,5727,676,267,0,0,,0,
5754,3,5727,676,267,0,0,,0,
5754,4,5727,676,267,0,0,,0,
5754,5,5727,676,267,0,0,,0,
5754,6,5727,676,267,0,0,,0,
5754,7,5727,676,267,0,0,,0,
5754,8,5727,676,267,0,0,,0,
5754,9,5727,676,267,0,0,,0,
5754,10,5727,676,267,0,0,,0,
5754,11,5727,676,267,0,0,,0,
5754,12,5727,676,267,0,0,,0,
6405,1,1145,10,773,0,0,,0,
6405,2,1145,10,773,0,0,,0,
6405,3,1145,10,773,0,0,,0,
6943,1,6915,14,714,0,0,,0,
7271,1,5727,12,872,0,0,,0,
7559,1,7525,0,61,0,0,,0,
7559,2,7525,0,61,0,0,,0,
7632,1,7622,85,893,0,0,,0,
7669,1,7664,5,893,0,0,,0,
7886,1,7880,8,1028,2,5,buffer read,1,"Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).  "
7888,1,7880,24,872,0,0,,0,
7888,2,7880,24,872,0,0,,0,
7896,1,7880,-2,268,1,6,misc open,2,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).  "
7896,2,7880,-2,268,1,5,buffer read,1,"Check buffer boundaries if used in a loop including recursive loops (CWE-120, CWE-20).  "
8075,1,7981,3,737,0,0,,0,
8241,1,8236,6,457,0,0,,0,
8244,1,8236,-3,394,0,0,,0,
8247,1,8236,19,872,1,3,misc fopen,2,"Check when opening files - can an attacker redirect it (via symlinks), force the opening of special file type (e.g., device files), move things around to create a race condition, control its ancestors, or change its contents? (CWE-362).  "
